map_id,plan_id,statement,gold_formula,formula
1,1_3,The player thought that the blue key was in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
1,1_3,The player believed that box 2 contains the key.,"believes(player, formula(exists(key(K), inside(K, box2))))","believes(player, formula(exists(key(K), inside(K, box2))))"
1,1_3,The player believes that box 3 is empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
1,1_3,The player believed that there was a key in one of the boxes.,"believes(player, formula(exists(box(B), exists(key(K), inside(K, B)))))","believes(player, formula(exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3), inside(K, box4))))"
1,1_3,"The player believed there was an equal chance of the key being in box 1, box 2, or box 3.","believes(player, equal(likely, exists(key(K), inside(K, box1)), exists(key(K), inside(K, box2)), exists(key(K), inside(K, box3)))","believes(player, equal(likely, exists(key(K), inside(K, box1)), exists(key(K), inside(K, box2)), exists(key(K), inside(K, box3))))"
1,1_3,The player believed they key was in box 2.,"believes(player, formula(exists(key(K), inside(K, box2))))","believes(player, formula(exists(key(K), inside(K, box2))))"
1,1_3,The player believed they key was not in box 3.,"believes(player, formula(not(exists(key(K), inside(K, box3)))))","believes(player, formula(not(exists(key(K), inside(K, box3)))))"
1,1_3,The player believed there might be a key in box 1.,"believes(player, might(exists(key(K), inside(K, box1))))","believes(player, might(exists(key(K), inside(K, box1))))"
1,1_3,The player was unsure about the contents of boxes 2 and 3.,"uncertain_about(player, color(C), exists(and(key(K), inside(K, box2)), iscolor(K, C)), exists(and(key(K), inside(K, box3)), iscolor(K, C)))","uncertain_about(player, color(C), exists(and(key(K), or(inside(K, box2), inside(K, box3))), iscolor(K, C)))"
1,1_3,The player thought that one of the boxes might be empty.,"believes(player, might(exists(box(B), empty(B))))","believes(player, might(exists(box(B), empty(B))))"
1,1_3,The player thought that box 1 or 2 have a high chance of containing a key.,"believes(player, likely(exists(key(K), or(inside(K, box1), inside(K, box2)))))","believes(player, likely(or(exists(key(K), inside(K, box1)), exists(key(K), inside(K, box2)))))"
2,2_1,The player thought that box 3 did not contain a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))","believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))"
2,2_1,The player did not know if box 1 had a key.,"not_knows_if(player, formula(exists(key(K), inside(K, box1))))","not_knows_if(player, formula(exists(key(K), inside(K, box1))))"
2,2_1,The player did not know if box 2 had a key.,"not_knows_if(player, formula(exists(key(K), inside(K, box2))))","not_knows_if(player, formula(exists(key(K), inside(K, box2))))"
2,2_1,The player did not believe box three had a red key.,"not_knows_that(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","not_knows_that(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
2,2_1,The player believed the red key was in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
2,2_1,The player did not believe the key was in box 3.,"not_knows_that(player, formula(exists(key(K), inside(K, box3))))","not_knows_if(player, formula(exists(key(K), inside(K, box3))))"
2,2_1,The player believed there might be a key in box 1.,"believes(player, might(exists(key(K), inside(K, box1))))","believes(player, might(exists(key(K), inside(K, box1))))"
2,2_1,The player was unsure what color the key in box 1 would be if there was one.,"uncertain_about(player, color(C), exists(and(key(K), inside(K, box1)), iscolor(K, C)))","uncertain_about(player, color(C), exists(and(key(K), inside(K, box1)), iscolor(K, C)))"
2,2_1,The player was hoping the key in box 1 would be red.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1)))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
2,2_1,The player did not think box 3 has a key.,"not_knows_that(player, formula(exists(key(K), inside(K, box3))))","not_knows_if(player, formula(exists(key(K), inside(K, box3))))"
2,2_1,The player believed box 1 might have a key.,"believes(player, might(exists(key(K), inside(K, box1))))","believes(player, might(exists(key(K), inside(K, box1))))"
2,2_1,The player believed box 3 to be empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
2,2_1,The player believed that box 1 might have the red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
2,2_1,The player knew that box 3 did not have the red key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))","knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))"
2,2_2,The player believed that box 2 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
2,2_2,The player believed that box 1 was empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
2,2_2,The player believed that box 3 was empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
2,2_2,The player thought there was a key in box 3.,"believes(player, formula(exists(key(K), inside(K, box3))))","believes(player, formula(exists(key(K), inside(K, box3))))"
2,2_2,The player believed that box 2 contained a key.,"believes(player, formula(exists(key(K), inside(K, box2))))","believes(player, formula(exists(key(K), inside(K, box2))))"
2,2_2,The player believed that box 3 was empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
2,2_2,The player thought that box 2 contained a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
2,2_2,The player thought that box 1 was empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
2,2_2,The player thought that box 3 was empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
2,2_2,The player initially believed that box 2 would contain a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
2,2_2,The player initially believed that box 2 was more likely to contain a red key than box 1 and box 3.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box2)), exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box3)))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box2)), exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box3)))))"
2,2_3,The player believed box 3 to be empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
2,2_3,The player believed box 1 or box 2 to contain a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))))"
2,2_3,The player thought that box 3 did not contain a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))","believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))))"
2,2_3,The player thought that box 2 did not contain a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box2)))))","believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box2)))))"
2,2_3,The player thought that box 1 most likely contains a red key.,"believes(player, most(likely, exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, most(likely, exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
2,2_3,The player knew there would be a red key in one of the boxes.,"knows_that(player, formula(exists(and(key(K), iscolor(K, red)), exists(box(B), inside(K, B)))))","knows_that(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2), inside(K, box3), inside(K, box4))))"
2,2_3,The player did not believe box three would hold a key.,"not_knows_that(player, formula(exists(key(K), inside(K, box3))))","not_knows_if(player, formula(exists(key(K), inside(K, box3))))"
2,2_3,The player believed that box 1 has a red eye.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
2,2_3,The player believed that box 2 is empty.,"believes(player, formula(empty(box2)))","believes(player, formula(empty(box2)))"
2,2_3,The player believed that box 3 is empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
3,3_1,"The player knew there was a red key in box 1, box 2, or box 3.","knows_that(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2), inside(K, box3)))))","knows_that(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2), inside(K, box3)))))"
3,3_1,"The player knew there was a blue key in box 1, box 2, or box 3.","knows_that(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2), inside(K, box3)))))","knows_that(player, formula(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2), inside(K, box3)))))"
3,3_1,The player knew there was a key in box 2 or box 3.,"knows_if(player, formula(exists(key(K), or(inside(K, box2), inside(K, box3)))))","knows_if(player, formula(exists(key(K), or(inside(K, box2), inside(K, box3)))))"
3,3_1,The player believed box 1 contained the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
3,3_1,The player believed box 2 would contain the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
3,3_1,The player initially believed the blue key could be in any one of the boxes.,"believes(player, could(exists(and(key(K), iscolor(K, blue)), exists(box(B), inside(K, B)))))","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)), exists(and(key(K), iscolor(K, blue)), inside(K, box4)))))"
3,3_1,The player believes the keys were in box 1 and 2.,"believes(player, formula(and(exists(key(K), inside(K, box1)), exists(key(K), inside(K, box2)))))","believes(player, formula(and(exists(key(K), inside(K, box1)), exists(key(K), inside(K, box2)))))"
3,3_1,The player believed box 1 was empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
3,3_1,The player believed there might be a chance of seeing a key in box 2.,"believes(player, might(exists(key(K), inside(K, box2))))","believes(player, might(exists(key(K), inside(K, box2))))"
3,3_2,The player expected to find a key in box 3.,"believes(player, formula(exists(key(K), inside(K, box3))))","believes(player, formula(exists(key(K), inside(K, box3))))"
3,3_2,The player did not know the color of the key in box 3.,"not_knows_about(player, color(C), exists(and(key(K), inside(K, box3)), iscolor(K, C)))","not_knows_about(player, color(C), exists(and(key(K), inside(K, box3)), iscolor(K, C))"
3,3_2,The player did not know which box might contain a red key.,"not_knows_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B)))","not_knows_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B)))"
3,3_2,The player initially thought box three had the red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
3,3_2,The player initially believed that box 3 contained a key.,"believes(player, formula(exists(key(K), inside(K, box3))))","believes(player, formula(exists(key(K), inside(K, box3))))"
3,3_2,"The player initially believed that box 3 contained a red key, and was wrong.","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3)))), not(exists(and(key(K), iscolor(K, red)), inside(K, box3)))"
3,3_2,The player thought the red key was in box 3.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
3,3_2,The player believed that box 3 contains the red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
3,3_2,The player believed that box 1 is empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
3,3_2,The player believed there was no key in box 1.,"believes(player, formula(not(exists(key(K), inside(K, box1)))))","believes(player, formula(not(exists(key(K), inside(K, box1)))))"
3,3_2,The player believed there was a pink key in box 3.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, pink)), inside(K, box3))))"
3,3_3,The player thought there might be a blue key in box 2.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
3,3_3,The player was unsure which box contained the blue key.,"uncertain_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))","uncertain_about(player, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))"
3,3_3,The player believed box 1 was not empty.,"believes(player, formula(not(empty(box1))))","believes(player, formula(not(empty(box1))))"
3,3_3,The player believed box 1 might hold a blue key.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))"
3,3_3,The player initially believed a blue key was hidden inside box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
3,3_3,The player initially believed a blue key was more likely to be inside box 2 than box 1 or box 3.,"believes(player, more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box2)), exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box3)))))","believes(player, more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box2)), exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box3)))))"
3,3_3,The player knew that box 1 did not have the blue key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))))","knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))))"
3,3_3,The player believed that box 2 had the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))"
4,4_1,The player believed box 2 or box 3 contained a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))"
4,4_1,The player believed box 1 to be empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
4,4_1,The player believed that box 1 did not contain a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))))","believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))))"
4,4_1,The player believed that either box 2 or 3 contained a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))"
4,4_1,The player believed they could get a second red key in box two or three.,"believes(player, could(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))))","believes(player, can(exists(key(K), and(iscolor(K, red), or(inside(K, box2), inside(K, box3)))))"
4,4_1,The player did not have confidence box one would hold the red key.,"not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
4,4_1,The player initially believed that box 1 is empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
4,4_1,The player initially believed that either box 2 or 3 contain a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))))."
4,4_1,The player believed box 1 was empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
4,4_1,The player believed box 2 or 3 had a key in it.,"believes(player, formula(exists(key(K), or(inside(K, box2), inside(K, box3)))))","believes(player, formula(exists(key(K), or(inside(K, box2), inside(K, box3))))."
4,4_2,The player initially thought there was a red key in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
4,4_2,The player believed that box 2 had a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
4,4_2,The player believed that box 3 might have been empty.,"believes(player, might(empty(box3)))","believes(player, might(empty(box3)))"
4,4_2,The player initially believed a red key was most likely in box 2.,"believes(player, most(likely, exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, most(likely, exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
4,4_2,The player believed that box 3 was empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
4,4_2,The player believed that either box 1 or 2 contained a key.,"believes(player, formula(exists(key(K), or(inside(K, box1), inside(K, box2)))))","believes(player, formula(exists(key(K), or(inside(K, box1), inside(K, box2))))."
4,4_2,The player believed that there was a key in box 2.,"believes(player, formula(exists(key(K), inside(K, box2))))","believes(player, formula(exists(key(K), inside(K, box2))))"
4,4_2,The player believed that there is a key in box 3.,"believes(player, formula(exists(key(K), inside(K, box3))))","believes(player, formula(exists(key(K), inside(K, box3))))"
4,4_2,The player thought that box 2 contained a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
4,4_2,The player thought that box 1 contained a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
4,4_2,The player thought that box 3 was empty.,"believes(player, formula(empty(box3)))","believes(player, formula(empty(box3)))"
4,4_3,The player believed box 3 could have contained a red key.,"believes(player, could(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, could(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
4,4_3,The player believed box 1 or box 2 contained a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box2)))))"
4,4_3,The player believed box 3 contains a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
4,4_3,The player believed box 2 and 1 was empty.,"believes(player, formula(and(empty(box2), empty(box1))))","believes(player, formula(and(empty(box2), empty(box1))))"
4,4_3,The player thought that box 1 did not contain a red key.,"believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))))","believes(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))))"
4,4_3,The player did not know if box 2 contained a red key.,"not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
4,4_3,The player did not know if box 3 contained a red key.,"not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","not_knows_if(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
4,4_3,The player did not believe box one would hold a key.,"not_knows_if(player, formula(exists(key(K), inside(K, box1))))","not_believes(player, formula(exists(key(K), inside(K, box1))))"
4,4_3,The player knew there was a red key in box 3.,"knows_that(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","knows_that(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
4,4_3,The player believed that box number 1 is empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
4,4_3,The player believed that the third box held the other red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box3))))"
4,4_3,The player believed that box 3 is full.,"believes(player, formula(not(empty(box3))))","believes(player, formula(not(empty(box3))))"
4,4_3,The player believed that box 1 is empty.,"believes(player, formula(empty(box1)))","believes(player, formula(empty(box1)))"
4,4_3,"The player believed there was a key in box 1, box 2, or box 3.","believes(player, formula(exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3)))))","believes(player, formula(exists(key(K), or(inside(K, box1), inside(K, box2), inside(K, box3)))))"
4,4_3,The player did not know for sure which box contained a key.,"not_knows_about(player, box(B), exists(key(K), inside(K, B)))","not_knows_about(player, box(B), exists(key(K), inside(K, B)))"
4,4_3,The player believed there might be a key in box 1.,"believes(player, might(exists(key(K), inside(K, box1))))","believes(player, might(exists(key(K), inside(K, box1))))"
4,4_3,The player was unsure about the contents of boxes 2 and 3.,"uncertain_about(player, color(C), exists(and(key(K), inside(K, box2)), iscolor(K, C)), exists(and(key(K), inside(K, box3)), iscolor(K, C)))","uncertain_about(player, color(C), exists(and(key(K), or(inside(K, box2), inside(K, box3))), iscolor(K, C)))"
4,4_3,The player thought that one of the boxes might be empty.,"believes(player, might(exists(box(B), empty(B))))","believes(player, might(exists(box(B), empty(B))))"
5,5_1,The player believed there might be a key in box 2.,"believes(player, might(exists(key(K), inside(K, box2))))","believes(player, might(exists(key(K), inside(K, box2))))"
5,5_1,The player was unsure whether box 2 would be empty or have a blue or red key.,"uncertain_if(player, formula(empty(box2)), formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box2)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))))","uncertain_if(player, formula(or(empty(box2), exists(and(key(K), iscolor(K, blue)), inside(K, box2)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))))"
5,5_1,The player believed a red key was more likely to be in box 2 or 3 than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box1))))"
5,5_1,The player believed that the red key was in box number 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))"
